Country,Cases,Deaths,Recovered
Mauritius,"37,656",990,"35,656"
Mayotte,"37,038",187,"2,964"
Togo,"36,977",273,"36,679"
Guinea,"36,459",440,"35,976"
Faeroe Islands,"34,658",28,"7,693"
Aruba,"34,589",212,"34,251"
Tanzania,"33,864",803,N/A
Bahamas,"33,463",789,"32,310"
Lesotho,"32,910",697,"24,155"
Mali,"30,727",731,"29,795"
Haiti,"30,640",835,"29,389"
Isle of Man,"28,416",87,"26,794"
Benin,"26,952",163,"25,506"
Somalia,"26,485","1,350","13,182"
Congo,"24,079",385,"20,178"
Saint Lucia,"23,239",368,"22,736"
Timor-Leste,"22,860",130,"22,714"
Cayman Islands,"21,755",26,"8,553"
Burkina Faso,"20,853",382,"20,439"
Nicaragua,"18,491",225,"4,225"
Gibraltar,"17,706",102,"16,579"
South Sudan,"17,422",138,"13,514"
Tajikistan,"17,388",124,"17,264"
Liechtenstein,"17,103",85,"16,831"
San Marino,"16,140",114,"15,662"
Equatorial Guinea,"15,907",183,"15,698"
Djibouti,"15,611",189,"15,411"
CAR,"14,649",113,"6,859"
Grenada,"14,428",220,"13,945"
Bermuda,"13,143",131,"12,719"
Solomon Islands,"12,437",139,"11,194"
Dominica,"12,011",63,"11,926"
Gambia,"11,995",365,"11,591"
Greenland,"11,971",21,"2,761"
Yemen,"11,818","2,148","9,001"
Monaco,"11,604",54,"11,362"
Saint Martin,"10,279",63,"1,399"
Sint Maarten,"9,990",86,"9,841"
Eritrea,"9,733",103,"9,629"
Caribbean Netherlands,"9,592",34,"9,392"
Tonga,"9,553",11,"8,306"
Niger,"8,914",309,"8,507"
Guinea-Bissau,"8,185",171,"7,515"
Comoros,"8,100",160,"7,933"
Sierra Leone,"7,681",125,N/A
Antigua and Barbuda,"7,571",135,"7,402"
Liberia,"7,432",294,"5,747"
Chad,"7,396",193,"4,874"
Samoa,"7,185",13,"1,605"
Vanuatu,"6,793",12,"5,991"
St. Vincent Grenadines,"6,779",106,"6,641"
British Virgin Islands,"6,296",62,N/A
Sao Tome and Principe,"5,953",73,"5,875"
Turks and Caicos,"5,941",36,"5,862"
Saint Kitts and Nevis,"5,561",43,"5,517"
Cook Islands,"4,727",0,"3,990"
St. Barth,"4,432",6,N/A
Palau,"4,396",6,"3,879"
Kiribati,"3,076",13,"2,597"
Anguilla,"2,731",9,"2,716"
Saint Pierre Miquelon,"2,641",1,"2,449"
Diamond Princess,712,13,699
Wallis and Futuna,454,7,438
Montserrat,183,2,174
Falkland Islands,128,0,N/A
Macao,82,0,82
Vatican City,29,0,29
Marshall Islands,15,0,7
Western Sahara,10,1,9
MS Zaandam,9,2,7
Niue,8,0,7
Nauru,3,0,3
Saint Helena,2,0,2
Micronesia,1,0,1
